step,x,y,action,target_x,target_y,semantic,height,slope,roughness,traversability_class,cost,coverage_rate,recovery_id,reason
163,26,5,cover,26,5,curtain_soft,0.0,0.0,0.0,cautious,2.0,0.24,1,toward_cover
164,27,5,cover,27,5,floor,0.0,0.0,0.0,normal,1.0,0.2414814814814815,1,toward_cover
165,28,5,cover,28,5,floor,0.0,0.0,0.0,normal,1.0,0.24296296296296296,1,toward_cover
166,29,5,cover,29,5,floor,0.0,0.0,0.0,normal,1.0,0.24444444444444444,1,toward_cover
167,30,5,cover,30,5,floor,0.0,0.0,0.0,normal,1.0,0.24592592592592594,1,toward_cover
168,31,5,cover,31,5,floor,0.0,0.0,0.0,normal,1.0,0.2474074074074074,1,toward_cover
169,32,5,cover,32,5,floor,0.0,0.0,0.0,normal,1.0,0.24888888888888888,1,toward_cover
170,33,5,cover,33,5,floor,0.0,0.0,0.0,normal,1.0,0.25037037037037035,1,toward_cover
171,34,5,cover,34,5,floor,0.0,0.0,0.0,normal,1.0,0.2518518518518518,1,toward_cover
172,34,6,cover,34,6,floor,0.0,0.0,0.0,normal,1.0,0.25333333333333335,1,toward_cover
173,33,6,cover,33,6,floor,0.0,0.0,0.0,normal,1.0,0.2548148148148148,1,toward_cover
174,32,6,cover,32,6,floor,0.0,0.0,0.0,normal,1.0,0.2562962962962963,1,toward_cover
175,31,6,cover,31,6,floor,0.0,0.0,0.0,normal,1.0,0.2577777777777778,1,toward_cover
176,30,6,cover,30,6,floor,0.0,0.0,0.0,normal,1.0,0.25925925925925924,1,toward_cover
177,29,6,cover,29,6,floor,0.0,0.0,0.0,normal,1.0,0.2607407407407407,1,toward_cover
178,28,6,cover,28,6,floor,0.0,0.0,0.0,normal,1.0,0.26222222222222225,1,toward_cover
179,27,6,cover,27,6,floor,0.0,0.0,0.0,normal,1.0,0.2637037037037037,1,toward_cover
180,26,6,cover,26,6,curtain_soft,0.0,0.0,0.0,cautious,2.0,0.2651851851851852,1,toward_cover
181,25,6,cover,25,6,floor,0.0,0.0,0.0,normal,1.0,0.26666666666666666,1,toward_cover
182,24,6,cover,24,6,floor,0.0,0.0,0.0,normal,1.0,0.26814814814814814,1,toward_cover
183,24,7,cover,24,7,floor,0.0,0.0,0.0,normal,1.0,0.2696296296296296,1,toward_cover
184,25,7,cover,25,7,floor,0.0,0.0,0.0,normal,1.0,0.27111111111111114,1,toward_cover
185,26,7,cover,26,7,curtain_soft,0.0,0.0,0.0,cautious,2.0,0.2725925925925926,1,toward_cover
186,27,7,cover,27,7,floor,0.0,0.0,0.0,normal,1.0,0.2740740740740741,1,toward_cover
187,28,7,cover,28,7,floor,0.0,0.0,0.0,normal,1.0,0.27555555555555555,1,toward_cover
188,29,7,cover,29,7,floor,0.0,0.0,0.0,normal,1.0,0.277037037037037,1,toward_cover
189,30,7,cover,30,7,floor,0.0,0.0,0.0,normal,1.0,0.2785185185185185,1,toward_cover
190,31,7,cover,31,7,floor,0.0,0.0,0.0,normal,1.0,0.28,1,toward_cover
191,32,7,cover,32,7,floor,0.0,0.0,0.0,normal,1.0,0.2814814814814815,1,toward_cover
192,33,7,cover,33,7,floor,0.0,0.0,0.0,normal,1.0,0.28296296296296297,1,toward_cover
193,34,7,cover,34,7,floor,0.0,0.0,0.0,normal,1.0,0.28444444444444444,1,toward_cover
194,34,8,cover,34,8,floor,0.0,0.0,0.0,normal,1.0,0.2859259259259259,1,toward_cover
195,33,8,cover,33,8,floor,0.0,0.0,0.0,normal,1.0,0.2874074074074074,1,toward_cover
196,32,8,cover,32,8,floor,0.0,0.0,0.0,normal,1.0,0.28888888888888886,1,toward_cover
197,31,8,cover,31,8,floor,0.0,0.0,0.0,normal,1.0,0.2903703703703704,1,toward_cover
198,30,8,cover,30,8,floor,0.0,0.0,0.0,normal,1.0,0.29185185185185186,1,toward_cover
199,29,8,cover,29,8,floor,0.0,0.0,0.0,normal,1.0,0.29333333333333333,1,toward_cover
200,28,8,cover,28,8,floor,0.0,0.0,0.0,normal,1.0,0.2948148148148148,1,toward_cover
201,27,8,cover,27,8,floor,0.0,0.0,0.0,normal,1.0,0.2962962962962963,1,toward_cover
202,26,8,cover,26,8,curtain_soft,0.0,0.0,0.0,cautious,2.0,0.29777777777777775,1,toward_cover
203,25,8,cover,25,8,floor,0.0,0.0,0.0,normal,1.0,0.2992592592592593,1,toward_cover
204,24,8,cover,24,8,floor,0.0,0.0,0.0,normal,1.0,0.30074074074074075,1,toward_cover
205,24,9,cover,24,9,floor,0.0,0.0,0.0,normal,1.0,0.3022222222222222,1,toward_cover
206,25,9,cover,25,9,floor,0.0,0.0,0.0,normal,1.0,0.3037037037037037,1,toward_cover
207,26,9,cover,26,9,curtain_soft,0.0,0.0,0.0,cautious,2.0,0.30518518518518517,1,toward_cover
208,27,9,cover,27,9,floor,0.0,0.0,0.0,normal,1.0,0.30666666666666664,1,toward_cover
209,28,9,cover,28,9,floor,0.0,0.0,0.0,normal,1.0,0.30814814814814817,1,toward_cover
210,29,9,cover,29,9,floor,0.0,0.0,0.0,normal,1.0,0.30962962962962964,1,toward_cover
211,30,9,cover,30,9,floor,0.0,0.0,0.0,normal,1.0,0.3111111111111111,1,toward_cover
212,31,9,cover,31,9,floor,0.0,0.0,0.0,normal,1.0,0.3125925925925926,1,toward_cover
213,32,9,cover,32,9,floor,0.0,0.0,0.0,normal,1.0,0.31407407407407406,1,toward_cover
214,33,9,cover,33,9,floor,0.0,0.0,0.0,normal,1.0,0.31555555555555553,1,toward_cover
215,34,9,cover,34,9,floor,0.0,0.0,0.0,normal,1.0,0.31703703703703706,1,toward_cover
216,34,10,cover,34,10,floor,0.0,0.0,0.0,normal,1.0,0.31851851851851853,1,toward_cover
217,33,10,cover,33,10,floor,0.0,0.0,0.0,normal,1.0,0.32,1,toward_cover
218,32,10,cover,32,10,floor,0.0,0.0,0.0,normal,1.0,0.3214814814814815,1,toward_cover
219,31,10,cover,31,10,floor,0.0,0.0,0.0,normal,1.0,0.32296296296296295,1,toward_cover
220,30,10,cover,30,10,floor,0.0,0.0,0.0,normal,1.0,0.3244444444444444,1,toward_cover
221,29,10,cover,29,10,floor,0.0,0.0,0.0,normal,1.0,0.32592592592592595,1,toward_cover
222,28,10,cover,28,10,floor,0.0,0.0,0.0,normal,1.0,0.3274074074074074,1,toward_cover
223,27,10,cover,27,10,floor,0.0,0.0,0.0,normal,1.0,0.3288888888888889,1,toward_cover
224,26,10,cover,26,10,curtain_soft,0.0,0.0,0.0,cautious,2.0,0.33037037037037037,1,toward_cover
225,25,10,cover,25,10,floor,0.0,0.0,0.0,normal,1.0,0.33185185185185184,1,toward_cover
226,24,10,cover,24,10,floor,0.0,0.0,0.0,normal,1.0,0.3333333333333333,1,toward_cover
227,24,11,cover,24,11,floor,0.0,0.0,0.0,normal,1.0,0.3348148148148148,1,toward_cover
228,25,11,cover,25,11,floor,0.0,0.0,0.0,normal,1.0,0.3362962962962963,1,toward_cover
