step,x,y,action,target_x,target_y,semantic,height,slope,roughness,traversability_class,cost,coverage_rate,recovery_id,reason
120,9,5,cover,9,5,floor,0.0,0.0,0.0,normal,1.0,0.2520833333333333,,toward_cover
121,9,6,cover,9,6,floor,0.0,0.0,0.0,normal,1.0,0.25416666666666665,,toward_cover
122,8,6,cover,8,6,floor,0.0,0.0,0.0,normal,1.0,0.25625,,toward_cover
123,7,6,cover,7,6,floor,0.0,0.0,0.0,normal,1.0,0.25833333333333336,,toward_cover
124,6,6,cover,6,6,floor,0.0,0.0,0.0,normal,1.0,0.2604166666666667,,toward_cover
125,5,6,cover,5,6,floor,0.0,0.0,0.0,normal,1.0,0.2625,,toward_cover
126,4,6,cover,4,6,floor,0.0,0.0,0.0,normal,1.0,0.26458333333333334,,toward_cover
127,3,6,cover,3,6,floor,0.0,0.0,0.0,normal,1.0,0.26666666666666666,,toward_cover
128,2,6,cover,2,6,floor,0.0,0.0,0.0,normal,1.0,0.26875,,toward_cover
129,1,6,cover,1,6,floor,0.0,0.0,0.0,normal,1.0,0.2708333333333333,,toward_cover
130,1,7,cover,1,7,floor,0.0,0.0,0.0,normal,1.0,0.27291666666666664,,toward_cover
131,2,7,cover,2,7,floor,0.0,0.0,0.0,normal,1.0,0.275,,toward_cover
132,3,7,cover,3,7,floor,0.0,0.0,0.0,normal,1.0,0.27708333333333335,,toward_cover
133,4,7,cover,4,7,floor,0.0,0.0,0.0,normal,1.0,0.2791666666666667,,toward_cover
134,5,7,cover,5,7,floor,0.0,0.0,0.0,normal,1.0,0.28125,,toward_cover
135,6,7,cover,6,7,floor,0.0,0.0,0.0,normal,1.0,0.2833333333333333,,toward_cover
136,7,7,cover,7,7,floor,0.0,0.0,0.0,normal,1.0,0.28541666666666665,,toward_cover
137,8,7,cover,8,7,floor,0.0,0.0,0.0,normal,1.0,0.2875,,toward_cover
138,9,7,cover,9,7,floor,0.0,0.0,0.0,normal,1.0,0.28958333333333336,,toward_cover
139,9,8,cover,9,8,floor,0.0,0.0,0.0,normal,1.0,0.2916666666666667,,toward_cover
140,8,8,cover,8,8,floor,0.0,0.0,0.0,normal,1.0,0.29375,,toward_cover
141,7,8,cover,7,8,floor,0.0,0.0,0.0,normal,1.0,0.29583333333333334,,toward_cover
